I'm saying no.	Estou dizendo que não.
I think Tom is at least partially to blame.	Acho que o Tom é, pelo menos, parcialmente culpado.
My hobby is to collect beautiful butterflies.	Meu hobby é coletar borboletas bonitas.
Something is slowing down my computer.	Alguma coisa está deixando meu computador lento.
Who can help you learn German?	Quem pode ajudar você a aprender alemão?
Tom must be from the Australia.	Tom deve ser da Austrália.
Tom knew that Mary was hungry.	Tom sabia que Maria estava com fome.
I'm not disagreeing.	Não estou discordando.
Tom barely spoke.	Tom quase não fala.
Is that bike yours?	Aquela bicicleta é sua?
When will you fix it?	Quando você irá consertá-lo?
Weapons are forbidden here.	Armas são proíbidas aqui.
Tom and I aren't at home on Mondays.	O Tom e eu não estamos em casa às segundas-feiras.
I didn't think it would be that easy.	Eu não pensei que seria tão fácil.
I get along with my younger brother.	Eu me dou bem com o meu irmão caçula.
Tom was eating.	O Tom estava comendo.
Dark clouds are rolling in. It's going to rain.	Nuvens pretas estão se reunindo. Chuverá.
He that is giddy thinks the world turns round.	Quem se sente tonto pensa que o mundo está girando.
They don't want to talk to me.	Eles não querem falar comigo.
I don't want to offend you.	Não vos quero ofender.
He was groomed from a young age to take over the family business.	Ele foi educado desde cedo para assumir o controlo da empresa da família.
I know why you went to Boston.	Eu sei porque você foi para Boston.
We're back home.	Estamos de volta em casa.
Did you meet Jasmin in Germany?	Você conheceu Jasmin na Alemanha?
Tom and Mary are both very proud of you.	Tanto Tom quanto Mary estão muito orgulhosos de você.
That's a really big apple.	Essa é uma maçã grande mesmo.
You must be very proud of your daughter.	Você deve estar muito orgulhoso da sua filha.
You could come here more often.	Você poderia vir aqui mais vezes.
What are you doing home so early?	O que você está fazendo em casa tão cedo?
He came after you left.	Ele veio depois de você partir.
Isn't that enough?	Não é o bastante?
We can't escape this.	Nós não podemos escapar disso.
We met in Boston.	Nós nos conhecemos em Boston.
What do you like about it?	O que você gosta sobre isso?
I wish to travel as soon as possible.	Eu desejo viajar o quanto antes.
That's what friends are for.	É para isso que servem os amigos.
Was there ever any doubt?	Alguma vez houve alguma dúvida?
Tom should have done that years ago.	Tom deveria ter feito isso há anos.
That's very controversial.	Isso é muito duvidoso.
This song reminds me of someone.	Essa música me lembra alguém.
She doesn't speak, she screams!	Ela não fala, ela berra!
We're fine.	Estamos bem.
Can I take your things?	Posso levar suas coisas?
She had something weird on her head.	Ela tinha algo estranho na cabeça dela.
Don't tell Tom where we're going.	Não conte para o Tom onde estamos indo.
Bye, Sayoko!	Tchau, Sayoko!
Have you had lunch?	Você almoçou?
The dog is very important.	O cão é muito importante.
You're not the only one who needs help.	Você não é o único que precisa de ajuda.
With the past, I have nothing to do; nor with the future. I live now.	Com o passado nada tenho que ver; nem com o futuro. Eu vivo agora.
You should've come by train.	Você deveria ter vindo de trem.
Make sure that you get this done before you go home.	Não deixe de fazer isso antes de ir para casa.
I won't die completely.	Não morrerei inteiramente.
I wasn't lying when I said that I loved you.	Eu não mentia quando disse que amava os senhores.
I knew Tom was a Canadian.	Eu sabia que Tom era canadense.
Tom will cry.	Tom vai chorar.
What do you want to do?	Que é que você quer fazer?
Hope for the best; prepare for the worst.	Espere o melhor; prepare-se para o pior.
They become nervous.	Elas ficam nervosas.
I'll see you when you get here.	Te verei quando você chegar aqui.
My father used to bring me here when I was a kid.	Meu pai costumava me trazer aqui quando eu era criança.
I need to buy some laundry detergent.	Preciso comprar um pouco de detergente para a roupa.
Tom and Mary ate the whole cake by themselves.	Tom e Maria comeram o bolo inteiro sozinhos.
You're not bored, are you?	Você não está aborrecido, está?
I wonder if he can lend me his guitar during the vacation.	Será que ele pode me emprestar seu violão durante as férias?
Do you remember what Tom said?	Você se lembra do que o Tom disse?
I'll wait for you in my room.	Esperarei por você na minha sala.
Are you quite sure that it was Tom you saw doing that?	Você tem certeza de que foi Tom que viu você fazendo isso?
Your friends are worried about you.	Os seus amigos estão preocupados com você.
Nobody was rich in my country.	Ninguém era rico no meu país.
Tom likes hunting.	Tom gosta de caçar.
As Jack the Ripper would say, let's go by parts.	Como diria Jack o Estripador, vamos por partes.
Has anyone been hurt?	Alguém se machucou?
I told Tom that I wasn't hungry.	Eu disse para o Tom que eu não estava com fome.
She doesn't need money.	Ela não precisa de dinheiro.
Tom Jackson is our only suspect.	Tom Jackson é nosso único suspeito.
Tom picked up the phone.	Tom atendeu o telefone.
I never liked her.	Eu nunca gostei dela.
"My mother said to me, ""Study."""	"Minha mãe me disse: ""Estude."""
I knew I was making mistakes.	Eu sabia que estava cometendo um erro.
Tom can't read without glasses.	Tom não consegue ler sem óculos.
Tom is a freshman.	Tom é novato.
Tom is carrying some chairs.	Tom está carregando algumas cadeiras.
We need three more chairs.	Nós precisamos de mais três cadeiras.
It's snowing and it's cold.	Está caindo neve e faz frio.
He always go to work at eight am.	Ele sempre vai para o trabalho às oito da manhã.
What was decided?	O que foi decidido?
Your English doesn't sound ugly.	O seu inglês não soa feio.
Tom is quite posh.	Tom é muito bacana.
Tom said he needs to do that.	Tom disse que precisa fazer isso.
Do you know where Tom plays golf?	Vocês sabem onde Tom joga golfe?
Tom was lucky to pass the exam.	Tom teve sorte de passar no exame.
Tom left his passport at home.	Tom deixou o passaporte em casa.
This website is full of shady advertisements and clickbait!	Esse site é cheio de propaganda duvidosa e clickbait!
She extended her arm to grab the magazine at the top of the shelves.	Ela estendeu o braço para tomar a revista no alto dos estantes.
How can I trust them?	Como posso confiar neles?
He took great pains in educating his children.	Ele sofreu bastante para educar suas crianças.
One hundred and fifty people entered the marathon race.	Cento e cinquenta pessoas entraram para a maratona.
Have you already decided who you're going to hire?	Já decidiu quem você vai contratar?
I figured I could be of some help.	Eu imaginei que poderia ser de alguma ajuda.
This town isn't lively.	Essa cidade não é habitável.
You should stop that.	Você deveria parar com isso.
God heard our prayers.	Deus ouviu nossas preces.
Tom promised he wouldn't smoke anymore.	Tom prometeu que ele não iria mais fumar.
I want to learn English faster.	Quero aprender inglês mais rápido.
They have been married for twenty years.	Eles estão casados há vinte anos.
Things happened very quickly.	As coisas aconteceram muito rapidamente.
He gets home late from work.	Ele chega tarde do trabalho em casa.
Never think you know it all.	Jamais pense que você sabe tudo.
I would not miss it for anything.	Eu não o perderia por nada.
Tom left three hours ago.	Tom partiu há três horas.
Even Tom thinks so.	Até o Tom pensa assim.
They started drinking vodka. And I'm not sure when they stopped.	Eles começaram a beber vodca. E eu não estou certo de quando pararam.
You have been busy.	Você tem estado ocupado.
You have good friends.	Você tem bons amigos.
He barely escaped being hit and killed by a car.	Ele mal escapou de ser atingido e morto pelo carro.
Some friend you are!	Que belo amigo você é!
Returning, I had to cross before the looking-glass; my fascinated glance involuntarily explored the depth it revealed. All looked colder and darker in that visionary hollow than in reality: and the strange little figure there gazing at me, with a white face and arms specking the gloom, and glittering eyes of fear moving where all else was still, had the effect of a real spirit: I thought it like one of the tiny phantoms, half fairy, half imp, Bessie’s evening stories represented as coming out of lone, ferny dells in moors, and appearing before the eyes of belated travelers.	Ao voltar, tive de passar diante do espelho. Involuntariamente, meu olhar explorou fascinado a profundidade que ele revelava. Naquele vazio imaginário, tudo parecia mais frio e mais escuro do que na realidade; e a estranha figurinha que ali me olhava, com rosto e braços descorados pontilhando a escuridão, e olhos brilhantes de medo se movendo quando tudo o mais estava parado, dava de fato a impressão de ser um espírito. Talvez fosse um daqueles minúsculos fantasmas, meio fada, meio duende, das histórias que Bessie gostava de ouvir antes de dormir, onde figuravam qual se saíssem de ermos vales cobertos de samambaias, nas charnecas, para surgir diante dos olhos de viajantes surpreendidos pelo cair da noite.
What could be more important than this?	O que poderia ser mais importante que isso?
I don't want to move back to Boston.	Não quero voltar para Boston.
I couldn't do it.	Eu não podia fazê-lo.
Tom was kicked off the team.	Tom foi expulso do time.
Tom says he's eager to do that.	O Tom diz que está ansioso para fazer isso.
You're taunting me.	Estais troçando de mim.
I don't like him coming to my house so often.	Eu não gosto que ele venha para minha casa tantas vezes.
Who are all these people?	Quem são todas essas pessoas?
The strategy update calls for vaccinating 100% of health care workers and 100% of the highest-risk populations, such as the elderly and those with underlying health conditions.	A estratégia atualizada apela à vacinação de 100% dos profissionais de saúde e 100% das populações em maior risco, tais como os idosos e aqueles com problemas de saúde subjacentes.
Elsa and Clive are experts at splicing together genes of different species for research into new, life-saving medicines; but the line they dare not cross is to splice human genetic material into an experiment.	Elsa e Clive são peritos na combinação de genes de espécies diferentes para a pesquisa de novos medicamentos destinados a salvar vidas; mas o limite que eles não se atrevem a ultrapassar é o cruzamento de material genético humano em experiências.
Please take one.	Por favor, pegue um.
Everyone saw it.	Todo o mundo viu isso.
Tom will arrive in Paris at 5.20 p.m.	Tom chegará em Paris às 17h20.
After all, how can I help you?	Afinal de contas, como posso evitá-lo?
Stop beating around the bush and get right to the point.	Pare de fazer tanto rodeio e vá direto ao assunto.
After being proven innocent, the killer cucumber went into a well deserved retirement in Spain.	Depois de ser inocentado, o pepino assassino partiu para uma aposentadoria bem merecida na Espanha.
