Fly!	Voe!
The sky was filled with aeroplanes.	O céu estava cheio de aviões.
Can you finish by then?	Você consegue terminar até lá?
I'm French and she's American.	Eu sou francês e ela é americana.
I don't know what the big deal is.	Eu não sei qual é o grande problema.
Yes, I studied psychology but I didn't learn anything that I didn't already know; I only had to learn the vocabulary.	Sim, eu estudei psicologia mas eu não aprendi nada que já não soubesse; Eu só tive que aprender o vocabulário.
An adverb is a word which modifies a verb, an adjective and sometimes another adverb.	Um advérbio é uma palavra que modifica um verbo, um adjetivo e às vezes outro advérbio.
There's so much I want to teach you, Tom.	Há tanta coisa que eu quero te ensinar, Tom.
"""I can't fold another crane,"" she said to herself."	“Não consigo dobrar outro guindaste”, disse ela para si mesma.
Buy a book and read it.	Compre um livro e leia-o.
She works as a stripper.	Ela trabalha como uma stripper.
It's dangerous out there.	Está perigoso lá fora.
Why didn't you leave Tom a message?	Por que você não deixou uma mensagem para Tom?
I wonder what Tom's doing.	O que será que Tom está fazendo?
When did you come in?	Quando você entrou?
I never doubted the outcome.	Eu nunca duvidei do resultado.
I think we're on the right track.	Eu acho que estamos no caminho certo.
Why don't we do that first?	Por que nós não fazemos isso primeiro?
What a cute dog!	Que cachorro bonitinho!
Is Tom getting better?	O Tom está melhorando?
Because they're eating dinner.	Porque eles estão jantando.
Have you anything to eat?	Você tem alguma coisa para comer?
Not everybody loved Tom.	Nem todos amavam Tom.
Is he coming?	Ele está vindo?
His soul seemed to be made up of good humor and goodwill.	Sua alma parecia ser feita de bom humor e de boa vontade.
Do you speak Korean?	Vocês falam coreano?
The most perfidious way of harming a cause consists of defending it deliberately with faulty arguments.	A forma mais traiçoeira de prejudicar uma causa consiste em defendê-la por argumentos falhos deliberadamente.
Perhaps we could talk later.	Talvez nós pudéssemos conversar mais tarde.
Tom is confined to a mental institution in Boston.	Tom está internado em um hospital psiquiátrico de Boston.
She is an educated girl.	Ela é uma garota educada.
Computers can be thought of as mere calculating machines.	Computadores podem ser compreendidos como meras máquinas calculadoras.
Did you miss the game?	Você perdeu o jogo?
Who bought this?	Quem comprou isso?
Tatoeba's greatest virtue is its interactivity.	A maior virtude de Tatoeba é sua interatividade.
Mary shows the mirror.	Maria mostra o espelho.
Last night, I listened to radio.	Ontem à noite eu ouvi rádio.
The motion was carried unanimously.	A moção foi aprovada por unanimidade.
I'm quitting my job as a teacher.	Eu estou abandonando o meu trabalho como professor.
Have you met him yet?	Você já o encontrou?
I have a great life.	Eu tenho uma grande vida.
Is there a supermarket in this mall?	Tem algum supermercado neste shopping?
One of the effects of progressive muscle diseases like cerebral palsy is muscle stiffness.	Um dos efeitos de doenças musculares progressivas como a paralisia cerebral é a rigidez muscular.
We were just there.	Nós estávamos lá agora há pouco.
I realize that I should've been more careful.	Percebo que deveria ter sido mais cuidadoso.
You'll change your mind after I explain it.	Vocês vão mudar de ideia depois de eu explicar.
This is Tom's idea.	Essa é a ideia de Tom.
This Christmas I want your presence, not your presents.	Neste Natal eu quero sua presença, não seus presentes.
Leave me.	Me deixa.
Is thirty dollars enough?	Trinta dólares são o suficiente?
Tom took charge of the situation.	Tom tomou conta da situação.
Her anxiety almost drove her wild.	Ela quase enlouqueceu de ansiedade.
I'll find them.	Eu irei encontrá-los.
Tom chuckled.	Tom deu uma risada discreta.
Meg called you during your absence.	A Meg ligou enquanto você estava fora.
We're efficient.	Nós somos eficientes.
Which team are you cheering for?	Para qual time você está torcendo?
Now, I'm going to be honest with you.	Agora eu vou ser sincera com você.
They're doing it now.	Eles estão fazendo isso agora.
He is merely a child.	Ele é apenas uma criança.
Why have you brought me here?	Por que você me trouxe até aqui?
I read my books, you yours, and Marcos his.	Eu leio meus livros, tu, os teus e Marcos, os seus.
The planets revolve around the sun.	Os planetas giram em torno do Sol.
Did you have an accident?	Tu tiveste um acidente?
Wait, you guys.	Espera, pessoal.
You'll get better in a few days.	Você ficará melhor em alguns dias.
Just look at him.	Apenas olhe para ele.
We must try.	Devemos tentar.
You'll forget about me someday.	Um dia me olvidareis.
Times were tough.	Eram tempos difíceis.
Conservation groups agree that, instead of being beneficial, gill plates may be harmful to human health because they contain arsenic, cadmium, and other lethal metals.	Os grupos conservacionistas concordam que, em vez de serem benéficas, as guelras podem ser prejudiciais à saúde humana porque contêm arsénio, cádmio e outros metais letais.
Are any of these notebooks yours?	Algum desses cadernos são seus?
He is the tallest person in the class.	Ele é o mais alto da classe.
A lot can happen in a month.	Muita coisa pode acontecer em um mês.
I don't know where Tom might be.	Eu não sei onde Tom pode estar.
Sorry for bothering you at this busy time.	Desculpe por tê-lo incomodado nesta hora de pico.
Have you tried it before?	Você já o provou antes?
My client wants to plead guilty.	Meu cliente quer se declarar culpado.
Have you got a headache?	Você está com dor de cabeça?
I hope that this comes off easily.	Espero que isso saia facilmente.
How can you forget?	Como é que você pode esquecer?
Is it Christmas again already?	Já é Natal novamente?
I have enjoyed myself very much.	Eu me diverti muito.
I doubt if Tom will be jealous.	Eu duvido que Tom fique com ciúmes.
Tom promised us he'd be back in three days.	Tom prometeu que voltaria em três dias.
Men whose mothers had breast cancer run a higher risk of developing prostate cancer.	Os homens cujas mães tiveram câncer de mama correm um risco maior de desenvolverem câncer de próstata.
Tom wasn't at home that night.	Tom não estava em casa naquela noite.
There is nothing wrong with boys wearing cosmetics.	Não há nada errado no fato de meninos usarem cosméticos.
That isn't quite what I meant.	Não é exatamente o que eu quis dizer.
Tom should still be in the library.	Tom ainda deveria estar na biblioteca.
I know why you went to Boston.	Eu sei porque você foi para Boston.
Tom wants them to suffer.	Tom quer que eles sofram.
It has been a pleasure to know you too.	Foi um prazer conhecê-la também.
The heat is stifling to me.	O calor é sufocante para mim.
Catalonia is not Spain.	Catalunha não é Espanha.
Tom has a beloved wife. Her name is Mary.	Tom tem uma esposa bem-amada. Ela se chama Mary.
There were four pieces of furniture in the room.	Havia quatro móveis no quarto.
One of the most famous chess players in Spain was Arturo Pomar.	Um dos enxadristas mais famosos da Espanha foi Arturo Pomar.
Close the cage.	Fecha a gaiola.
That helped a lot.	Isso ajudou muito.
Were her children born in Germany?	Os filhos dela nasceram na Alemanha?
I drink water when I'm thirsty.	Eu bebo água quando estou com sede.
I read lips.	Leio lábios.
Is she okay?	Ela está bem?
Look! The cat's in the kitchen!	Olhem! O gato está na cozinha!
I don't have a cellphone.	Eu não tenho celular.
Put the book on the bottom shelf.	Põe o livro na prateleira de baixo.
You aren't ready for this.	Você não está preparado para isso.
We were talking.	Nós estávamos conversando.
That is an adjective.	Isso é um adjetivo.
Even a child knows that.	Até mesmo uma criança sabe disso.
It is important for you to read many books.	É importante que leia muitos livros.
We're in good shape.	Estamos em boa forma.
Why are the lights off?	Por que as luzes estão apagadas?
That's the biggest alligator I've ever seen.	É o maior crocodilo que já vi.
I don't like the changes you've made.	Não gostei das alterações que você fez.
Can we fix this?	Nós podemos consertar isso?
I don't know where everyone is.	Eu não sei onde está todo mundo.
Tom seems to be objective.	Tom parece ser objetivo.
John is mad about pop music.	John é louco por música pop.
I need to learn how to order food in French.	Eu preciso aprender a pedir comida em Francês.
Tom gave his dog a treat.	Tom deu um petisco para o seu cachorro.
Tom learned French from Mary.	Tom aprendeu francês com Mary.
She rewrote the poem.	Ela reescreveu o poema.
Turn off your cell phone, please.	Desligue o celular, por favor.
I asked Tom to leave right away.	Eu pedi para Tom sair imediatamente.
George weighs not less than 70 kilograms.	George não pesa menos do que 70 quilos.
You don't have to go there.	Você não precisa ir até lá.
Drinking alcohol is forbidden in Islam.	Beber álcool é proibido no Islã.
I love the food here.	Eu amo a comida daqui.
I don't know what happened.	Eu não sei o que aconteceu.
They stop doing their homework.	Eles pararam de fazer sua lição de casa.
Jim was upset for the number of immigrants coming from Mexico.	Jim estava irritado com o número de imigrantes que vinham do México.
Be sure to come.	Não deixe de vir.
Tom doesn't take a bath every day.	Tom não toma banho todos os dias.
Tom cut down a cherry tree.	Tom derrubou uma cerejeira.
The course will last fourteen days.	O curso vai durar catorze dias.
It would be crazy to do that again.	Seria loucura fazer isso novamente.
I'm sorry I called you a liar.	Sinto muito por tê-lo chamado mentiroso.
I'm playing with my children.	Estou brincando com meus filhos.
I think Tom fell.	Eu acho que o Tom caiu.
I know I can do better.	Eu sei que posso fazer melhor.
I wear a hooded lace veil to church.	Eu uso na igreja um véu de renda tipo capuz.
Smoking does not cause lung cancer.	O fumo não causa câncer de pulmão.
You should've said so earlier.	Você deveria ter dito antes.
I'll have to get used to that.	Terei que me acostumar com isso.
This is exciting.	Isso é excitante.
Life's a ruin without you.	A vida é uma ruína sem você.
A strong smell of cannabis hung in the air.	Tem um cheiro forte de maconha no ar.
We're going to take good care of Tom.	Nós vamos cuidar do Tom.
He likes to read newspapers.	Ele gosta de ler jornais.
This housework is driving me crazy.	Essa tarefa doméstica está me deixando louca.
In February 1905, a Chicago lawyer named Paul Harris founded a business and fellowship club for men.	Em fevereiro de 1905, um advogado de Chicago chamado Paul Harris fundou um clube de negócios e camaradagem para homens.
Their wedding is tomorrow.	O casamento deles é amanhã.
When she was young, she participated in the student movement of anti-authoritarianism.	Quando ela era jovem, participou do movimento estudantil antiautoritário.
